ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
;;Nepal;29/03/2020;15/04/2020;The government decided to extend the suspension of international flights to until 15 April.;;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nepal;;;;
;;United States;15/04/2020;;gatherings banned (25 people);;;Massachussets;indoor gatherings banned, outdoor gatherings banned, social distancing;25;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Massachusetts;;;;
;;United States;07/04/2020;;Mayor of Los Angeles Eric Garcetti announced that in accordance with recent CDC recommendations, it would institute a Worker Protection Order beginning April 10, requiring all employees and customers of stores and essential businesses to wear a face mask. Businesses will have the right to refuse service to customers who do not wear a face mas;;Los Angeles;California;public mask and hygiene supply;;;;;;
;;United States;07/04/2020;;Governor Janet Mills today directed the Maine National Guard and the Maine Emergency Management Agency (MEMA) to work with Maine’s health care systems to open two alternative care sites in Portland and Bangor as part of the State’s preparations to bolster Maine health system capacity;;;Maine;hospital construction;150;https://www.maine.gov/governor/mills/newsroom?q=newsroom&combine=&page=0;;;;
;;Spain;06/04/2020;;On 6 April the Spanish government released an app for self-evaluation,;;;;symptom app;;https://asistencia.covid19.gob.es/;;;;
;;Taiwan;05/04/2020;;- Taiwan added 10 new cases and all are imported cases. Tracing and testing will be applied to people from same travel group and same flight. ;;;;case reporting;;https://www.cna.com.tw/news/firstnews/202003175009.aspx;;;;
;;Nepal;04/04/2020;;Three new positive cases were confirmed in the far-western region of Nepal. Among the three are a 21-year-old male of Kailali who had returned from Mumbai in India, 41-year-old male of Kanchanpur who had returned from Uttarakhand in India, and a 34-year-old female from Kailali who is known be a relative of one of the earlier infected persons. This is the first local transmission in Nepal.;;;;case reporting;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nepal;;;;
;;United States;04/04/2020;;Gov. Ige and the Hawai‘i Department of Health and the Hawai‘i Emergency Management Agency are formulating a statewide policy on the voluntary use of facemasks.;;;Hawaii;public mask encouragement;;https://hawaiicovid19.com/governor-ige-and-hawaii-department-of-health-provide-additional-guidance-on-face-masks-to-prevent-the-spread-of-covid-19/;;;;
;;United States;03/04/2020;;Governor Herbert announced that Zion National Park was closing indefinitely;;;Utah;closure of gathering places;;;;;;
;;United States;03/04/2020;;travelers arriving in Maine, regardless of their state of residency, self-quarantine for 14 days;;;Maine;domestic traveller quarantine;1;https://www.maine.gov/governor/mills/newsroom?q=newsroom&combine=&page=0;;;;
